
TimeEdit,Linköpings universitet
"Asgård, Asgård,Bakdörren, Bakdörren,Brandväggen, Brandväggen,Egypten, Egypten,Multicore, Multicore,Olympen, Olympen,Resistorn, Resistorn,SU00, SU00,SU01, SU01,SU02, SU02,SU03, SU03,SU04, SU04,SU10, SU10,SU11, SU11,SU12, SU12,SU13, SU13,SU14, SU14,SU15/16, SU15/16,SU17/18, SU17/18 + SU24, SU24,SU25, SU25,Vippan, Vippan",2026-03-02 - 2026-03-08 v 10 v 10-v 10 Mån-Fre,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Undervisningstyp,Lokal,Kartlänk,Lärare,Studentgrupp,Fria grupper,Information till student,Kartlänk 
2026-03-02,07:00,2026-03-02,13:15,,Datortenta,Resistorn,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A532,,,,,
2026-03-02,07:00,2026-03-02,15:30,,Datortenta,SU04,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A464,,,,,
2026-03-02,08:15,2026-03-02,10:00,TDDE09,Projekt,Egypten,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A325%3A234,,"CS1,DSI1",,Project work,
2026-03-02,08:15,2026-03-02,10:00,TDDE44,Redovisning,SU00,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A447,"Kacper Mateusz Sieklucki,Wiktor Liew",Y1.b,,Redovisning 3,
2026-03-02,08:15,2026-03-02,10:00,TSRT04,Laboration,"SU10,SU11","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3D%3A468,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A469",Shipeng Liu,"DPU2,EMM2,I2,M2,MED2",Grupp A,,
2026-03-02,08:15,2026-03-02,10:00,TSRT04,Laboration,"SU12,SU13","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A466,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3B%3A461F",Garima Garima,"DPU2,EMM2,I2,M2,MED2",Grupp B,,
2026-03-02,08:15,2026-03-02,10:00,TSRT04,Laboration,SU15/16,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A472,Zilong Wang,"DPU2,EMM2,I2,M2,MED2",Grupp C,,
2026-03-02,08:15,2026-03-02,10:00,TSRT04,Laboration,SU17/18,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A484,,"DPU2,EMM2,I2,M2,MED2",Grupp D,,
2026-03-02,10:15,2026-03-02,12:00,"732A75,TDDD41",Laboration,"SU00,SU01","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A447,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A446",Mina Abd Nikooie Pour,"CS1,CYS1,DSI1,MMAT1,STML1",,,
2026-03-02,10:15,2026-03-02,12:00,"732A75,TDDD41",Laboration,"SU02,SU03","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2D%3A460,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A2C%3A459",Ying Li,"CS1,CYS1,DSI1,MMAT1,STML1",,,
2026-03-02,10:15,2026-03-02,12:00,TDDD80,Laboration,SU10,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3D%3A468,Vilgot Johansen,U1,Grupp 3,La: F2 navigering,
2026-03-02,10:15,2026-03-02,12:00,TDDD80,Laboration,SU11,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A469,"Arthur Junior Nordström,Kevin Gullander",U1,Grupp 4,La: F2 navigering,
2026-03-02,10:15,2026-03-02,12:00,TDDD80,Lektion,SU15/16,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A472,Anders Fröberg,U1,"Grupp 1,Grupp 2",Lektion i SU-pul i halvklass: navigering,
2026-03-02,10:15,2026-03-02,12:00,TDDD97,Laboration,"SU13,SU14,SU17/18,SU24,SU25","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3B%3A461F,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3B%3A469,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A484,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A521,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A3C%3A527","Andreas Stenmark,Arsal Azhar,Charlie Simonsson,Henrik Rehn,Simon Gunnarsson,Simon Teklehaimanot","CS1,CYS1,DI3",,,
2026-03-02,10:15,2026-03-02,12:00,TFKE74,Lektion,"Asgård,Egypten","https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A325%3A224,https://use.mazemap.com/?campusid=742&sharepoitype=identifier&sharepoi=E0007002%3A325%3A234",Björn Wallner,KB3ci,,Labb: AlphaFold och FoldX inlämning,
